country,country.code,year,economic.group,sdg381_rmnch,sdg381_rmnch_average,health.worker,sdi,total.aid.for.health_rmnch,total.aid.for.health.volatility_rmnch,total.health.spending,government.health.spending,prepaid.private.health.spending,out.of.pocket.health.spending,total.aid.for.health,the_total,ghes_total,ppp_total,oop_total,dah_total,ghes_per_the,ppp_per_the,oop_per_the,dah_per_the,total.aid.for.health.volatility,total.aid,total.aid.volatility,gini.index,people.at.poverty,gdp.per.capita,gdp,vae,pve,gee,rqe,rle,cce,institutional.index,income.group_wb,region_un,country.id_gbd
Afghanistan,AFG,2011,Quintile 1 (poorest),NA,NA,12.38,0.274,1.1516343085729577,0.2640557333729475,9.802936397722942,0.4633255502688634,3.8470335360005263e-4,6.453038872858483,2.886187271241995,1579872,74671,62,1039992,465147,4.7,0,65.8,29.5,NA,44.21811370743005,NA,NA,38.3,551,16116.313887,-1.3359769582748413,-2.5020596981048584,-1.4770334959030151,-1.53632390499115,-1.9225001335144043,-1.600470781326294,-1.8456272508319376,Low income,Central and Southern Asia,160
Afghanistan,AFG,2011,Quintile 2,NA,NA,12.38,0.274,1.1516343085729577,0.2640557333729475,9.802936397722942,0.4633255502688634,3.8470335360005263e-4,6.453038872858483,2.886187271241995,1579872,74671,62,1039992,465147,4.7,0,65.8,29.5,NA,44.21811370743005,NA,NA,38.3,551,16116.313887,-1.3359769582748413,-2.5020596981048584,-1.4770334959030151,-1.53632390499115,-1.9225001335144043,-1.600470781326294,-1.8456272508319376,Low income,Central and Southern Asia,160
Afghanistan,AFG,2011,Quintile 3,NA,NA,12.38,0.274,1.1516343085729577,0.2640557333729475,9.802936397722942,0.4633255502688634,3.8470335360005263e-4,6.453038872858483,2.886187271241995,1579872,74671,62,1039992,465147,4.7,0,65.8,29.5,NA,44.21811370743005,NA,NA,38.3,551,16116.313887,-1.3359769582748413,-2.5020596981048584,-1.4770334959030151,-1.53632390499115,-1.9225001335144043,-1.600470781326294,-1.8456272508319376,Low income,Central and Southern Asia,160
Afghanistan,AFG,2011,Quintile 4,NA,NA,12.38,0.274,1.1516343085729577,0.2640557333729475,9.802936397722942,0.4633255502688634,3.8470335360005263e-4,6.453038872858483,2.886187271241995,1579872,74671,62,1039992,465147,4.7,0,65.8,29.5,NA,44.21811370743005,NA,NA,38.3,551,16116.313887,-1.3359769582748413,-2.5020596981048584,-1.4770334959030151,-1.53632390499115,-1.9225001335144043,-1.600470781326294,-1.8456272508319376,Low income,Central and Southern Asia,160
Afghanistan,AFG,2011,Quintile 5 (richest),NA,NA,12.38,0.274,1.1516343085729577,0.2640557333729475,9.802936397722942,0.4633255502688634,3.8470335360005263e-4,6.453038872858483,2.886187271241995,1579872,74671,62,1039992,465147,4.7,0,65.8,29.5,NA,44.21811370743005,NA,NA,38.3,551,16116.313887,-1.3359769582748413,-2.5020596981048584,-1.4770334959030151,-1.53632390499115,-1.9225001335144043,-1.600470781326294,-1.8456272508319376,Low income,Central and Southern Asia,160
Afghanistan,AFG,2015,Quintile 1 (poorest),39.18498611450195,47.96293258666992,13.901,0.313,1.1333944868443662,0.3139428052730845,10.522505062375949,0.5248233831003116,1.500138296699476e-5,7.997222258321939,2.000449420031718,2104307,104955,3,1599297,400053,5,0,76,19,NA,24.48020681312996,NA,NA,NA,592.48,19998.156214,-1.1175566911697388,-2.571221828460694,-1.351807713508606,-1.0062081813812256,-1.4984923601150513,-1.348587155342102,-1.5701141361879185,Low income,Central and Southern Asia,160
Afghanistan,AFG,2015,Quintile 2,43.4254035949707,47.96293258666992,13.901,0.313,1.1333944868443662,0.3139428052730845,10.522505062375949,0.5248233831003116,1.500138296699476e-5,7.997222258321939,2.000449420031718,2104307,104955,3,1599297,400053,5,0,76,19,NA,24.48020681312996,NA,NA,NA,592.48,19998.156214,-1.1175566911697388,-2.571221828460694,-1.351807713508606,-1.0062081813812256,-1.4984923601150513,-1.348587155342102,-1.5701141361879185,Low income,Central and Southern Asia,160
Afghanistan,AFG,2015,Quintile 3,43.32467269897461,47.96293258666992,13.901,0.313,1.1333944868443662,0.3139428052730845,10.522505062375949,0.5248233831003116,1.500138296699476e-5,7.997222258321939,2.000449420031718,2104307,104955,3,1599297,400053,5,0,76,19,NA,24.48020681312996,NA,NA,NA,592.48,19998.156214,-1.1175566911697388,-2.571221828460694,-1.351807713508606,-1.0062081813812256,-1.4984923601150513,-1.348587155342102,-1.5701141361879185,Low income,Central and Southern Asia,160
Afghanistan,AFG,2015,Quintile 4,52.75040817260742,47.96293258666992,13.901,0.313,1.1333944868443662,0.3139428052730845,10.522505062375949,0.5248233831003116,1.500138296699476e-5,7.997222258321939,2.000449420031718,2104307,104955,3,1599297,400053,5,0,76,19,NA,24.48020681312996,NA,NA,NA,592.48,19998.156214,-1.1175566911697388,-2.571221828460694,-1.351807713508606,-1.0062081813812256,-1.4984923601150513,-1.348587155342102,-1.5701141361879185,Low income,Central and Southern Asia,160
Afghanistan,AFG,2015,Quintile 5 (richest),60.54618835449219,47.96293258666992,13.901,0.313,1.1333944868443662,0.3139428052730845,10.522505062375949,0.5248233831003116,1.500138296699476e-5,7.997222258321939,2.000449420031718,2104307,104955,3,1599297,400053,5,0,76,19,NA,24.48020681312996,NA,NA,NA,592.48,19998.156214,-1.1175566911697388,-2.571221828460694,-1.351807713508606,-1.0062081813812256,-1.4984923601150513,-1.348587155342102,-1.5701141361879185,Low income,Central and Southern Asia,160
