country,country.code,year,sdg382,health.worker,sdi,total.aid.for.health_rmnch,total.aid.for.health.volatility_rmnch,total.health.spending,government.health.spending,prepaid.private.health.spending,out.of.pocket.health.spending,total.aid.for.health,the_total,ghes_total,ppp_total,oop_total,dah_total,ghes_per_the,ppp_per_the,oop_per_the,dah_per_the,total.aid.for.health.volatility,total.aid,total.aid.volatility,gini.index,people.at.poverty,gdp.per.capita,gdp,vae,pve,gee,rqe,rle,cce,institutional.index,income.group_wb,region_un,country.id_gbd
Afghanistan,AFG,2007,4.84,10.711,0.234,0.3567497853402325,0.23620887696841017,10.95320373771272,0.5658981903136504,4.2254019230358663e-4,7.840988446409083,2.5459035510145425,1218347,62946,47,872169,283186,5.2,0,71.6,23.3,NA,50.6674237743031,NA,NA,33.7,429.41,11123.202208,-1.0576539039611816,-2.4133734703063965,-1.4434680938720703,-1.7088723182678225,-1.852560043334961,-1.6132510900497437,-1.7980079568406642,Low income,Central and Southern Asia,160
Afghanistan,AFG,2013,14.63,13.069,0.295,0.9742224186918286,0.236949240257636,9.511183400099084,0.4658336739318442,2.0323876589486436e-4,6.587630231454315,2.4575110446966244,1825125,89390,39,1264117,471578,4.9,0,69.19999999999999,25.9,NA,28.184161916722356,NA,NA,NA,608.39,19189.252517,-1.240068435668945,-2.5193490982055664,-1.4007453918457031,-1.1930902004241943,-1.6091115474700928,-1.4459084272384644,-1.6656293901572978,Low income,Central and Southern Asia,160
Afghanistan,AFG,2016,23.84,13.848,0.321,0.5291934538970338,0.23808779554753595,11.021224697612928,0.5832565546472173,2.933959881522258e-5,8.949868580990756,1.4880653324430024,2253860,119277,6,1830264,304312,5.3,0,81.2,13.5,NA,23.167280714470127,NA,NA,54.5,590.43,20450.177379,-1.0377880334854126,-2.671053886413574,-1.2541815042495728,-1.3365817070007324,-1.512380599975586,-1.5340492725372314,-1.6526070432875777,Low income,Central and Southern Asia,160
Afghanistan,AFG,2020,26.08,NA,NA,0.430430663261736,0.34555441749386867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.101917667022388,NA,NA,NA,553.04,21553.064853,-1.0777363777160645,-2.7050297260284424,-1.5851448774337769,-1.4027609825134275,-1.8198975324630735,-1.48053777217865,-1.7880820681225484,Low income,Central and Southern Asia,160
Angola,AGO,2008,12.26,38.448,0.353,0.08106472001301801,NA,3.4729050312663823,2.138564950496952,0.3970503319622076,0.7579000122857926,0.17938973652143003,2296585,1414204,262564,501189,118628,61.6,11.4,21.8,5.2,NA,0.6230280494219675,0.39688482112258344,42.7,NA,3048.59,66128.643868,-1.1193468570709229,-0.3617873787879944,-1.0645045042037964,-1.1014959812164309,-1.3785638809204102,-1.3087645769119265,-1.1437714072966154,Lower middle income,Sub-Saharan Africa,168
Angola,AGO,2018,35.53,46.595,0.463,0.02890541089906139,NA,2.550270381404652,1.0970332610746665,0.44909747243967113,0.8940575809954385,0.11008087250576395,2135209,918489,376006,748548,92165,43,17.599999999999998,35,4.3,NA,0.31277467675456416,0.3634636212027316,51.3,32.3,2677.18,83724.808772,-0.9063102006912231,-0.33569175004959106,-0.978714644908905,-0.7857900857925415,-0.9862075448036194,-1.1805014610290527,-0.9297564406009508,Lower middle income,Sub-Saharan Africa,168
Bangladesh,BGD,2000,14.85,19.733,0.336,0.18357776170092785,NA,2.6604296117755624,0.6705037535662007,0.08287304089577457,1.5971700187002902,0.3098816004892689,2220496,559628,69169,1333059,258639,25.2,3.1,60,11.7,NA,2.3480714889203265,0.265792292461232,33.4,48.9,646.04,83463.813144,-0.2279244959354401,-0.7262612581253052,-0.6076522469520569,-0.9412081241607666,-0.991129994392395,-1.2120826244354248,-0.8429564398165775,Lower middle income,Central and Southern Asia,161
Bangladesh,BGD,2005,12.34,24.359,0.369,0.13426690481311426,NA,2.983966260508524,0.7037732496703667,0.09625854475064756,1.9603635785555984,0.22357088753191132,3190964,752594,102936,2096354,239080,23.6,3.2,65.7,7.5,NA,1.7813946529264892,0.2774199759932258,33.2,40,758.89,106937,-0.5699692368507385,-1.8638393878936768,-0.917243719100952,-1.0817517042160034,-0.9785518646240234,-1.4064666032791138,-1.2048539185657892,Lower middle income,Central and Southern Asia,161
Bangladesh,BGD,2010,14.22,30.781,0.408,0.16515622170527516,NA,3.2153693462786777,0.6847400019501595,0.0932057836158743,2.2410961289334024,0.19632743177924197,4616563,983136,133823,3217721,281883,21.3,2.9000000000000004,69.69999999999999,6.1,NA,1.336827369095544,0.8508662296373057,32.1,31.5,967.56,143578,-0.26809069514274597,-1.425789475440979,-0.7526317834854126,-0.8575930595397949,-0.8010132908821106,-1.0540802478790283,-0.909691745547123,Lower middle income,Central and Southern Asia,161
Bangladesh,BGD,2016,24.42,39.42,0.457,0.14525976760657747,NA,3.1035155726564447,0.5554729225291449,0.08335439039797853,2.290207507800685,0.17448075192863569,6484982,1160694,174174,4785526,364588,17.9,2.7,73.8,5.6000000000000005,NA,1.7647208024655907,0.26685785459822403,32.4,24.3,1307.73,208956,-0.58383941650390625,-1.2619367837905884,-0.675904393196106,-0.8042462468147278,-0.6573327779769897,-0.8632411360740662,-0.8496856263819804,Lower middle income,Central and Southern Asia,161
Benin,BEN,2003,11.11,19.749,0.267,0.13188042864977267,0.0968251399411622,3.328147583915264,0.7911697571606979,0.17573715802325357,1.7273910636254548,0.6338496051058579,236008,56104,12462,122494,44948,23.799999999999997,5.3,51.8,19.1,NA,6.7938445370616964,2.65811248059085,38.6,39,925.85,7091.272068,0.18765193223953247,0.6792858242988586,-0.5687758326530457,-0.6214328408241272,-0.42570602893829346,-0.5775834321975708,-0.2497851110402256,Lower middle income,Sub-Saharan Africa,200
Benin,BEN,2011,6.67,22.346,0.301,0.4164557653416698,0.07133757763313615,3.664142218687224,0.8129521536691185,0.17828881714950323,1.4536278653941948,1.219262703299975,343111,76125,16695,136118,114172,22.2,4.9,39.6,33.300000000000004,NA,7.83605782328787,2.571941397757499,43.4,36.2,962.74,9364.019722,0.1663905680179596,0.31835636496543884,-0.5511501431465149,-0.4018794596195221,-0.6589450836181641,-0.6054458022117615,-0.31825163188830874,Lower middle income,Sub-Saharan Africa,200
Benin,BEN,2015,5.55,22.879,0.324,0.36552872769331113,0.06808081289265588,3.192675271238089,0.7672353773626581,0.17532242479940063,1.3659009566248408,0.8842077314021661,363587,87374,19966,155551,100695,24.1,5.5,42.7,27.800000000000004,NA,4.761260401418963,2.625489753419199,47.8,40.1,1041.65,11388.160997,0.2945658564567566,-0.01351395808160305,-0.6512377858161926,-0.6018943190574646,-0.5385590195655823,-0.5343615412712097,-0.3696779769256384,Lower middle income,Sub-Saharan Africa,200
Benin,BEN,2018,14.29,24.877,0.346,0.4511933625251023,0.07434862712872715,3.096011861073731,0.6646638641874848,0.1605795579495282,1.2638282710069992,1.0069401679297183,410804,88193,21307,167695,133609,21.5,5.2,40.7,32.6,NA,5.111836606092175,2.5708024276057357,37.8,38.5,1111.23,13268.812215,0.24016617238521576,-0.14117564260959625,-0.6099435687065125,-0.3812340795993805,-0.6764034628868103,-0.3683148920536041,-0.3466540368772905,Lower middle income,Sub-Saharan Africa,200
Bhutan,BTN,2003,5.38,43.599,0.322,0.05733092349290795,NA,4.447914337438483,3.005812052452606,0.01977740276552061,0.6701949639530289,0.7522476409028376,37783,25533,168,5693,6390,67.5,0.4,15.1,17,NA,11.548590543437928,1.8206678454445593,40.9,31.7,1338.51,849.454309,-1.1467819213867188,0.9189485907554626,0.5765177607536316,-0.04871612042188644,0.13612568378448486,1.0870110988616943,0.30011861101045284,Lower middle income,Central and Southern Asia,162
Bhutan,BTN,2007,3.43,52.224,0.356,0.2227948922736064,NA,3.678404151341968,2.438974752468438,0.01070657772848218,0.5902511782831935,0.638389913260873,45007,29842,131,7222,7811,66.3,0.3,16,17.4,NA,8.821075833855591,1.606714531560526,38.1,23.2,1795.07,1223.546901,-0.8725919127464294,0.5685265064239502,0.34757521748542786,-0.7097449898719788,0.3678327798843384,0.9287557601928712,0.1399116256723696,Lower middle income,Central and Southern Asia,162
Bhutan,BTN,2012,4.01,66.991,0.403,0.15212769869938017,NA,3.6429006972751794,2.6759756644988473,0.03052902797028377,0.6948659737266472,0.24153003107940135,63362,46544,531,12086,4201,73.5,0.8,19,6.6000000000000005,NA,9.373733936487882,1.7757942428589923,38.8,12,2411.9,1739.328224,-0.2809200584888458,0.7763094902038574,0.5536332130432129,-1.093008518218994,0.26095372438430786,0.9539472460746764,0.2274973416884602,Lower middle income,Central and Southern Asia,162
Bhutan,BTN,2017,3.98,84.411,0.442,0.07449684477082531,NA,3.59785797797572,2.843053653189969,0.04115189826594435,0.5779349656791735,0.1357615679127296,81571,64458,933,13103,3078,79,1.1,16.1,3.8,NA,6.4091986463283765,2.7749547521082536,37.4,8.2,2998.48,2267.210115,0.01095310226082801,1.117129921913147,0.6194204092025757,-0.32605233788490295,0.6571800708770752,1.5729646682739258,0.6782497307598436,Lower middle income,Central and Southern Asia,162
Bolivia,BOL,1999,11.83,60.166,0.469,0.1832036447715893,NA,5.205062669755338,2.6179180520170666,0.30429273272833157,1.8833885813202464,0.3994633036896937,880212,442708,51458,318494,67552,50.3,5.800000000000001,36.2,7.7,NA,5.135272494628832,2.2427995227995305,58.1,NA,2003.86,16910.689762,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2000,11.06,63.753,0.474,0.3376391693374078,NA,5.346575578051705,2.6399415295928383,0.29129303175677707,1.785335828106038,0.6300051885960515,926817,457628,50495,309484,109210,49.4,5.4,33.4,11.8,NA,4.558062445429889,1.946541368321191,61.6,NA,2017.39,17334.777868,0.1899729073047638,-0.23706117272377017,-0.3099922835826874,0.01597930490970611,-0.3682222068309784,-0.4835010766983032,-0.2040281326949052,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2001,7.9,66.438,0.48,0.2548525823992791,NA,5.448763189008762,2.819138623521877,0.3143022999310463,1.8116761043190637,0.5036518344610836,960435,496920,55401,319338,88777,51.7,5.800000000000001,33.2,9.3,NA,7.172033438924016,1.5934453054521114,57.4,NA,2015.38,17626.660706,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2002,8.23,69.421,0.485,0.08478374772496976,NA,5.43479544113422,2.897305777570343,0.3220354220357871,1.8213005989803603,0.3941591781802525,981784,523392,58175,329014,71204,53.3,5.8999999999999995,33.5,7.3,NA,8.526036568521524,3.081853546327428,59.3,NA,2029.62,18064.782946,0.14036989212036133,-0.28651556372642517,-0.3277857303619385,-0.0900735929608345,-0.3781125545501709,-0.9408075213432312,-0.3309407461608034,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2013,10.08,104.727,0.533,0.1278901315422163,NA,6.124772835505701,3.707677832683324,0.2507772507329972,1.947016251535239,0.21930150055414133,1827756,1106446,74837,581029,65444,60.5,4.1000000000000005,31.8,3.5999999999999996,NA,2.481132220528961,1.049229445471643,47.6,NA,2777.72,29842.021069,-0.06899304687976837,-0.3285934329032898,-0.3798450231552124,-0.7863894701004028,-1.0508114099502563,-0.5877713561058044,-0.5742154021807293,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2014,6.25,106.148,0.538,0.0643088443830839,NA,6.596227341926067,4.220362045231157,0.2653697044072155,1.984620061370362,0.12587870838876683,2075936,1328214,83516,624591,39616,64,4,30.1,1.9,NA,2.318537357055618,0.8233866054672967,47.8,NA,2882.81,31471.565372,-0.02630464918911457,-0.33311209082603455,-0.5861890912055969,-0.8866739273071289,-1.0581756830215454,-0.6284220218658447,-0.6338747177053922,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2015,6.02,109.021,0.544,0.05072999826906979,NA,7.05952728675256,4.628332801281177,0.2802286195526252,1.9754396476679008,0.1755262182508571,2329658,1527359,92476,651899,57924,65.60000000000001,4,28.000000000000004,2.5,NA,2.897346230512257,0.7219020495637457,46.7,NA,2975.65,33000.198248,-0.00465739425271749,-0.26848721504211426,-0.6512173414230347,-0.8983424305915833,-1.151862382888794,-0.6941466331481934,-0.6642065239995434,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2018,4.26,111.555,0.562,0.04686744087552488,NA,7.22368519232714,5.132525389338275,0.2849407660538707,1.715232719698515,0.09098631723647896,2699127,1917766,106468,640896,33997,71.1,3.9,23.7,1.3,NA,2.317813337725464,0.6952769152815249,42.6,NA,3219.2,37364.958856,-0.0666545182466507,-0.287118524312973,-0.30380716919898987,-0.990943968296051,-1.1997132301330566,-0.6673386096954346,-0.6338165643521939,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2019,4.55,112.451,0.566,0.18858577787377567,NA,7.575722178004011,5.300044004987205,0.2927167977943323,1.728248694854077,0.2547100621033313,2893413,2024258,111798,660074,97282,70,3.9,22.8,3.4000000000000004,NA,2.3195210215388373,0.7262323366461179,41.6,37.2,3242.95,38193.230058,-0.11638151854276656,-0.7300856709480286,-0.7740552425384521,-0.986101508140564,-1.174364447593689,-0.7619897723197937,-0.8147667431655402,Lower middle income,Latin America and the Caribbean,121
Bolivia,BOL,2021,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.768891178060939,1.0720311138653231,40.9,36.4,3061.74,36984.185806,-0.10992074757814407,-0.31856730580329895,-0.7319214940071106,-1.1539090871810913,-1.163192868232727,-0.8641029596328735,-0.7866098482963038,Lower middle income,Latin America and the Caribbean,121
Burkina Faso,BFA,1998,10.98,14.235,0.152,0.25308754286089435,0.1303339303947036,4.2806799402796605,1.3308840020512156,0.23466403796328392,1.851562242209844,0.8635696580553168,199820,62125,10954,86430,40311,31.1,5.5,43.2,20.200000000000003,NA,13.978298774059043,3.783949102840825,49.9,NA,416.74,4667.950017,-0.39619532227516174,-0.11221124231815338,-0.9184383749961852,-0.2301211655139923,-0.9128592610359192,0.09559004008769988,-0.43941772060276385,Low income,Sub-Saharan Africa,201
Burkina Faso,BFA,2003,8.46,15.095,0.175,0.13091598467238655,0.14337458710635553,3.9649260824207806,1.3226921847903754,0.1361069177304687,1.3086864597468706,1.1974405201530658,242894,81029,8338,80171,73356,33.300000000000004,3.4000000000000004,33,30.2,NA,13.508505480771417,3.7195097398524086,43.3,NA,470.13,6126.066286,-0.3097244203090668,0.06712006777524948,-0.8140342235565186,-0.3616128861904144,-0.6241775751113892,-0.10751430690288544,-0.3828523082902764,Low income,Sub-Saharan Africa,201
Burkina Faso,BFA,2009,3.52,17.4,0.205,0.4764552400430784,0.14519297266702538,5.486233357169296,1.7270324170152305,0.23804267458514475,1.8229654046675896,1.6981928609013313,459793,144740,19950,152780,142323,31.5,4.3,33.2,31,NA,14.057165681980194,3.779058090252765,39.8,NA,535.52,8380.850213,-0.28974196314811707,0.03404028713703155,-0.6159567832946777,-0.14174522459506989,-0.20417246222496033,-0.34560659527778625,-0.2714058723392954,Low income,Sub-Saharan Africa,201
Burkina Faso,BFA,2014,3.13,18.428,0.231,0.8328780888865603,0.17885430071960967,5.776359854272681,1.9101592462378976,0.46185127233335554,2.0458557786625495,1.3584935570388788,657679,217485,52585,232935,154674,33.1,8,35.4,23.5,NA,10.766575681084795,3.9358448450515793,35.3,NA,626.63,11385.699932,-0.352517306804657,-0.7871285676956177,-0.5910828709602356,-0.3409539461135864,-0.5456469058990479,-0.4664641320705414,-0.5358291874315965,Low income,Sub-Saharan Africa,201
Burkina Faso,BFA,2018,8.37,20.134,0.252,0.6724697663031542,0.1306326015790479,7.082920332092605,2.7453663455147965,0.4539445681806294,2.1487442251909803,1.7348651932061985,1005367,389684,64434,304998,246251,38.7,6.4,30.4,24.5,NA,9.83525429063671,3.9651958668744767,47.3,41.4,696.04,14194.244081,-0.06826886534690857,-1.0592865943908691,-0.6112250089645386,-0.3927034139633178,-0.4414253830909729,-0.10692783445119858,-0.4575659713402894,Low income,Sub-Saharan Africa,201
Burundi,BDI,1998,2.36,16.375,0.212,0.09425627070029945,0.1603160408518613,5.630582526508941,1.7058477787868886,1.2180540115152114,2.3125409631453655,0.39413977306147574,112186,33988,24269,46076,7853,30.3,21.5,41.099999999999994,7.000000000000001,0.43997926203305143,7.381400283223129,4.7363783629579626,42.3,81,330.13,1992.440382,-1.4428776502609253,-2.297532320022583,-1.6014848947525024,-1.5751711130142212,-1.3787856101989746,-0.6817497611045837,-1.5852894999440923,Low income,Sub-Saharan Africa,175
Burundi,BDI,2006,12.46,20.427,0.226,0.4703598928184404,0.2221409475879317,9.371957890329718,2.2650716861146587,1.3074506559497583,3.3511944465828005,2.448241101682499,215151,51999,30015,76933,56204,24.1,13.900000000000002,35.8,26.200000000000003,0.49758920187620953,24.169215274153704,4.512547763042636,33.4,67.1,299.77,2295.688932,-0.7231435775756836,-1.4277734756469729,-1.1148128509521484,-1.1897552013397217,-0.9832382798194884,-1.101503610610962,-1.160883153344222,Low income,Sub-Saharan Africa,175
Burundi,BDI,2013,3.29,22.042,0.26,1.6325580049568011,0.19521493935249615,10.00838158429582,2.4833690333970053,1.434402267194678,2.126914615875401,3.963663394907276,310117,76949,44446,65904,122817,24.8,14.3,21.3,39.6,0.7213677628378853,19.009396198150775,6.7037660143216575,38.6,64.9,305.29,3098.572905,-0.9530512690544128,-1.350277543067932,-1.0715752840042114,-0.9007946252822876,-1.076438307762146,-1.426113843917847,-1.2048624620264774,Low income,Sub-Saharan Africa,175
Burundi,BDI,2020,4.77,NA,NA,1.4182505816806672,1.1105710783625833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.099234896255542,7.03891706771743,NA,NA,263.36,3218.331132,-1.5276918411254885,-1.537037014961243,-1.2812628746032717,-1.0433189868927002,-1.31912100315094,-1.5440213680267334,-1.467815036902819,Low income,Sub-Saharan Africa,175
Cabo Verde,CPV,2001,2.81,27.421,0.379,0.05543181252053266,NA,6.645799852670459,3.8839300455409544,0.04987705886503043,1.2861569193177451,1.4258358289467283,57428,33562,431,11114,12321,58.4,0.8,19.4,21.5,NA,16.740638829269844,4.1810268008527975,52.5,58,1854.51,864.1247295,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,203
Cabo Verde,CPV,2007,2.05,35.556,0.434,0.01944885546687435,NA,5.1709464390557125,3.052605914722968,0.04170699005674167,1.0662294763728672,1.01033202510511,71786,42378,579,14802,14026,59,0.8,20.6,19.6,NA,14.217833674265409,3.481673204335325,47.2,46,2750.48,1388.256499,NA,NA,NA,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,203
Cambodia,KHM,2009,18.77,44.678,0.399,0.5374952548947481,NA,7.12754477380517,1.4500379592444264,0.06299064285727073,4.297920445199765,1.3165957265037076,858827,174721,7590,517874,158642,20.3,0.8999999999999999,60.3,18.5,NA,5.688494905620431,0.6694380365161613,NA,23.9,851.2,12049.408699,-0.9134219288825988,-0.560373842716217,-0.9586541652679444,-0.4957300126552582,-1.1239616870880127,-1.1812400817871094,-0.9368337617439044,Lower middle income,Eastern and South-eastern Asia,10
