Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.7,..,..,..,38.3,..,..,..,..,54.5,..,..,..,..,..,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,359.766342668484,363.101481459528,354.033912870345,379.955829325586,384.078305241572,429.412537341828,437.420026808226,512.409279249256,569.282712026308,551.000970270826,596.4428151196,608.386714575999,602.516979299112,592.476537451681,590.427738791141,588.930450759474,578.985909020837,584.386882896106,553.036478884366,426.030015291798,..
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7555185296.22188,8222480250.84361,8338755822.52123,9275174321.23028,9772082811.87623,11123202207.9391,11559786095.0463,14032485421.8896,16047892927.2921,16116313886.6037,18171512501.5422,19189252517.2649,19712072023.3154,19998156214.3988,20450177379.3119,20991494229.3483,21241130983.2911,22071999789.1576,21553064853.4717,17083574409.0529,..
Albania,ALB,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,..,..,..,..,..,31.7,..,..,30.6,..,..,30,..,..,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.4,..,..,18.5,..,..,12.4,..,..,..,14.3,..,..,..,23.7,23.4,23,21.8,..,..,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1740.50538249229,1804.01030684507,1818.3673437536,1799.87814510218,1740.34722580776,1735.28985772491,1798.01460877279,1748.57826220188,1691.53050586189,1808.64560434827,1606.29604693997,1163.49129356824,1086.43848680039,1197.58059375303,1305.00071868174,1488.02049135802,1633.55157205372,1464.29757891877,1603.64723014585,1821.87265372461,1960.88194602054,2143.52627790757,2247.49749129938,2380.64399709539,2522.44871361971,2675.50793615524,2851.36701218575,3044.89581910515,3298.47804428531,3432.16997279698,3577.11338784054,3678.04673786035,3736.33910071368,3780.69820205676,3855.75973394744,3952.80253807527,4090.371656678,4249.80373367726,4431.53918098494,4543.38652018643,4410.45516523171,4830.59631691622,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4650625160.50326,4917833121.03684,5062840191.13157,5118781449.54479,5054714952.70562,5144721429.16823,5434741886.98793,5391924672.21704,5315357203.66803,5838204918.03678,5279159422.70218,3800881722.9158,3527708137.74186,3864936281.67144,4185836785.19754,4743487914.02322,5175145287.46805,4610020246.05598,5017058468.9282,5663797624.70068,6057217275.07,6559561240.44323,6857137320.92933,7236243583.8751,7635298386.75535,8057257368.12833,8532849798.21543,9043392345.97121,9721650518.61472,10047742806.5926,10420206418.1606,10685442992.5982,10836881664.049,10945469119.1889,11139690870.3865,11386850129.8411,11764322012.1433,12211628287.161,12702457551.4349,12967692915.4374,12516205780.1976,13582023423.9986,..
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.2,..,..,..,..,..,..,35.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.2,..,..,..,..,..,..,22.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2106.2292648107,1787.6153657867,1413.8236769348,1868.62675251397,1943.69919689309,2030.63673274649,1897.48967940167,2031.16947339852,2200.32509871616,2332.82246388648,2483.44625915901,2152.97114688294,2680.80410850676,2717.76997506,2850.68498659583,2885.75698244983,2980.71598966337,3021.4264395119,3206.5633711411,3344.97906956013,3268.44405402821,3260.03310581793,3356.1626496192,3420.74608699726,3492.18431152061,3500.41819304902,3399.285114613,3274.80296420664,3154.20426999684,3207.45603778599,3153.47686364837,3042.2169063954,3025.84053984516,2896.66936001344,2810.7276652489,2862.1088062884,2927.37839658073,2910.24019680096,3012.80643105038,3066.03870511702,3138.23104750589,3188.20727071767,3321.63884944448,3512.90019969545,3612.75416439991,3774.07249144514,3783.31420382579,3848.77951249795,3874.36933836878,3866.29702547981,3931.72134771045,3969.66157703235,4025.64280301169,4057.76613682293,4129.42390210603,4197.42136055142,4246.2435654224,4218.08370129479,4188.22175743517,4153.00481594021,3873.5100150745,3943.17198337712,..
