Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27601373,UHC_AVAILABILITY_SCORE,COUNTRY,AFG,YEAR,2019,,,,,,,,,89,88.88889,,,,2021-11-19T15:21:45Z,2015-2019,2015-01-01,2019-12-31
27601404,UHC_AVAILABILITY_SCORE,COUNTRY,AGO,YEAR,2019,,,,,,,,,69,69.44444,,,,2021-11-19T15:21:46Z,2015-2019,2015-01-01,2019-12-31
27601435,UHC_AVAILABILITY_SCORE,COUNTRY,ALB,YEAR,2019,,,,,,,,,80,79.86111,,,,2021-11-19T15:21:47Z,2015-2019,2015-01-01,2019-12-31
27601466,UHC_AVAILABILITY_SCORE,COUNTRY,AND,YEAR,2019,,,,,,,,,31,31.25,,,,2021-11-19T15:21:48Z,2015-2019,2015-01-01,2019-12-31
27601497,UHC_AVAILABILITY_SCORE,COUNTRY,ARE,YEAR,2019,,,,,,,,,71,70.83333,,,,2021-11-19T15:21:49Z,2015-2019,2015-01-01,2019-12-31
27601528,UHC_AVAILABILITY_SCORE,COUNTRY,ARG,YEAR,2019,,,,,,,,,73,72.91667,,,,2021-11-19T15:21:49Z,2015-2019,2015-01-01,2019-12-31
27601559,UHC_AVAILABILITY_SCORE,COUNTRY,ARM,YEAR,2019,,,,,,,,,92,91.66667,,,,2021-11-19T15:21:50Z,2015-2019,2015-01-01,2019-12-31
27601590,UHC_AVAILABILITY_SCORE,COUNTRY,ATG,YEAR,2019,,,,,,,,,43,43.05556,,,,2021-11-19T15:21:51Z,2015-2019,2015-01-01,2019-12-31
27601621,UHC_AVAILABILITY_SCORE,COUNTRY,AUS,YEAR,2019,,,,,,,,,77,77.08333,,,,2021-11-19T15:21:51Z,2015-2019,2015-01-01,2019-12-31
27601652,UHC_AVAILABILITY_SCORE,COUNTRY,AUT,YEAR,2019,,,,,,,,,56,56.25,,,,2021-11-19T15:21:52Z,2015-2019,2015-01-01,2019-12-31
27601683,UHC_AVAILABILITY_SCORE,COUNTRY,AZE,YEAR,2019,,,,,,,,,65,64.58333,,,,2021-11-19T15:21:53Z,2015-2019,2015-01-01,2019-12-31
27601714,UHC_AVAILABILITY_SCORE,COUNTRY,BDI,YEAR,2019,,,,,,,,,72,72.22222,,,,2021-11-19T15:21:54Z,2015-2019,2015-01-01,2019-12-31
27601745,UHC_AVAILABILITY_SCORE,COUNTRY,BEL,YEAR,2019,,,,,,,,,71,70.83333,,,,2021-11-19T15:21:54Z,2015-2019,2015-01-01,2019-12-31
27601776,UHC_AVAILABILITY_SCORE,COUNTRY,BEN,YEAR,2019,,,,,,,,,92,91.66667,,,,2021-11-19T15:21:55Z,2015-2019,2015-01-01,2019-12-31
27601807,UHC_AVAILABILITY_SCORE,COUNTRY,BFA,YEAR,2019,,,,,,,,,60,60.41667,,,,2021-11-19T15:21:56Z,2015-2019,2015-01-01,2019-12-31
27601838,UHC_AVAILABILITY_SCORE,COUNTRY,BGD,YEAR,2019,,,,,,,,,83,83.33333,,,,2021-11-19T15:21:56Z,2015-2019,2015-01-01,2019-12-31
27601869,UHC_AVAILABILITY_SCORE,COUNTRY,BGR,YEAR,2019,,,,,,,,,56,56.25,,,,2021-11-19T15:21:57Z,2015-2019,2015-01-01,2019-12-31
27601900,UHC_AVAILABILITY_SCORE,COUNTRY,BHR,YEAR,2019,,,,,,,,,48,47.91667,,,,2021-11-19T15:21:58Z,2015-2019,2015-01-01,2019-12-31
27601931,UHC_AVAILABILITY_SCORE,COUNTRY,BHS,YEAR,2019,,,,,,,,,53,53.47222,,,,2021-11-19T15:21:59Z,2015-2019,2015-01-01,2019-12-31
27601962,UHC_AVAILABILITY_SCORE,COUNTRY,BIH,YEAR,2019,,,,,,,,,37,36.80556,,,,2021-11-19T15:21:59Z,2015-2019,2015-01-01,2019-12-31
