Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
31413894,UHC_INDEX_REPORTED,,,YEAR,2010,,,,,,,,,39,39.23055,,,,2023-05-01T16:34:05Z,2010,2010-01-01,2010-12-31
31413899,UHC_INDEX_REPORTED,,,YEAR,2015,,,,,,,,,45,44.75144,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413904,UHC_INDEX_REPORTED,,,YEAR,2017,,,,,,,,,47,46.57111,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413909,UHC_INDEX_REPORTED,,,YEAR,2019,,,,,,,,,47,47.37354,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413914,UHC_INDEX_REPORTED,,,YEAR,2021,,,,,,,,,47,47.12799,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413919,UHC_INDEX_REPORTED,,,YEAR,2000,,,,,,,,,66,65.6727,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413924,UHC_INDEX_REPORTED,,,YEAR,2005,,,,,,,,,71,71.15553,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413929,UHC_INDEX_REPORTED,,,YEAR,2010,,,,,,,,,75,75.05061,,,,2023-05-01T16:34:05Z,2010,2010-01-01,2010-12-31
31413934,UHC_INDEX_REPORTED,,,YEAR,2015,,,,,,,,,80,79.93107,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413939,UHC_INDEX_REPORTED,,,YEAR,2017,,,,,,,,,81,80.56015,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413944,UHC_INDEX_REPORTED,,,YEAR,2019,,,,,,,,,80,80.24675,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413949,UHC_INDEX_REPORTED,,,YEAR,2021,,,,,,,,,80,80.01545,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
