Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
31413898,UHC_SCI_CAPACITY,,,YEAR,2015,,,,,,,,,37,36.6575,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413903,UHC_SCI_CAPACITY,,,YEAR,2017,,,,,,,,,37,36.73902,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413908,UHC_SCI_CAPACITY,,,YEAR,2019,,,,,,,,,35,34.94933,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413913,UHC_SCI_CAPACITY,,,YEAR,2021,,,,,,,,,33,32.9185,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413918,UHC_SCI_CAPACITY,,,YEAR,2000,,,,,,,,,82,81.90325,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413923,UHC_SCI_CAPACITY,,,YEAR,2005,,,,,,,,,81,81.44649,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413928,UHC_SCI_CAPACITY,,,YEAR,2010,,,,,,,,,82,82.01272,,,,2023-05-01T16:34:05Z,2010,2010-01-01,2010-12-31
31413933,UHC_SCI_CAPACITY,,,YEAR,2015,,,,,,,,,92,91.53159,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413938,UHC_SCI_CAPACITY,,,YEAR,2017,,,,,,,,,91,91.32173,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413943,UHC_SCI_CAPACITY,,,YEAR,2019,,,,,,,,,88,87.925,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
