Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
31413896,UHC_SCI_INFECT,,,YEAR,2015,,,,,,,,,41,41.21719,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413901,UHC_SCI_INFECT,,,YEAR,2017,,,,,,,,,46,46.14397,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413906,UHC_SCI_INFECT,,,YEAR,2019,,,,,,,,,49,48.8224,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413911,UHC_SCI_INFECT,,,YEAR,2021,,,,,,,,,52,52.16754,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413916,UHC_SCI_INFECT,,,YEAR,2000,,,,,,,,,48,48.37463,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413921,UHC_SCI_INFECT,,,YEAR,2005,,,,,,,,,60,59.76361,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413926,UHC_SCI_INFECT,,,YEAR,2010,,,,,,,,,69,68.63381,,,,2023-05-01T16:34:05Z,2010,2010-01-01,2010-12-31
31413931,UHC_SCI_INFECT,,,YEAR,2015,,,,,,,,,76,76.40897,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413936,UHC_SCI_INFECT,,,YEAR,2017,,,,,,,,,79,78.75477,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413941,UHC_SCI_INFECT,,,YEAR,2019,,,,,,,,,81,81.05221,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413946,UHC_SCI_INFECT,,,YEAR,2021,,,,,,,,,81,80.78342,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413951,UHC_SCI_INFECT,,,YEAR,2000,,,,,,,,,14,13.67769,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413956,UHC_SCI_INFECT,,,YEAR,2005,,,,,,,,,20,20.37298,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413961,UHC_SCI_INFECT,,,YEAR,2010,,,,,,,,,36,36.19359,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31413966,UHC_SCI_INFECT,,,YEAR,2015,,,,,,,,,54,54.12231,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31413971,UHC_SCI_INFECT,,,YEAR,2017,,,,,,,,,62,61.66757,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
31413976,UHC_SCI_INFECT,,,YEAR,2019,,,,,,,,,70,70.41824,,,,2023-05-01T16:34:06Z,2019,2019-01-01,2019-12-31
31413981,UHC_SCI_INFECT,,,YEAR,2021,,,,,,,,,70,70.0136,,,,2023-05-01T16:34:06Z,2021,2021-01-01,2021-12-31
31413986,UHC_SCI_INFECT,,,YEAR,2000,,,,,,,,,52,51.57265,,,,2023-05-01T16:34:06Z,2000,2000-01-01,2000-12-31
31413991,UHC_SCI_INFECT,,,YEAR,2005,,,,,,,,,57,57.48015,,,,2023-05-01T16:34:06Z,2005,2005-01-01,2005-12-31
31413996,UHC_SCI_INFECT,,,YEAR,2010,,,,,,,,,71,70.69882,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31414001,UHC_SCI_INFECT,,,YEAR,2015,,,,,,,,,78,78.21092,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31414006,UHC_SCI_INFECT,,,YEAR,2017,,,,,,,,,82,81.89496,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
31414011,UHC_SCI_INFECT,,,YEAR,2019,,,,,,,,,84,84.46966,,,,2023-05-01T16:34:06Z,2019,2019-01-01,2019-12-31
31414016,UHC_SCI_INFECT,,,YEAR,2021,,,,,,,,,84,84.29694,,,,2023-05-01T16:34:06Z,2021,2021-01-01,2021-12-31
31414021,UHC_SCI_INFECT,,,YEAR,2000,,,,,,,,,60,59.60965,,,,2023-05-01T16:34:06Z,2000,2000-01-01,2000-12-31
31414026,UHC_SCI_INFECT,,,YEAR,2005,,,,,,,,,60,60.36555,,,,2023-05-01T16:34:06Z,2005,2005-01-01,2005-12-31
31414031,UHC_SCI_INFECT,,,YEAR,2010,,,,,,,,,66,66.20413,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31414036,UHC_SCI_INFECT,,,YEAR,2015,,,,,,,,,75,74.92006,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31414041,UHC_SCI_INFECT,,,YEAR,2017,,,,,,,,,76,76.01628,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
31414046,UHC_SCI_INFECT,,,YEAR,2019,,,,,,,,,78,77.52507,,,,2023-05-01T16:34:06Z,2019,2019-01-01,2019-12-31
31414051,UHC_SCI_INFECT,,,YEAR,2021,,,,,,,,,78,77.68298,,,,2023-05-01T16:34:07Z,2021,2021-01-01,2021-12-31
31414056,UHC_SCI_INFECT,,,YEAR,2000,,,,,,,,,23,22.52326,,,,2023-05-01T16:34:07Z,2000,2000-01-01,2000-12-31
31414061,UHC_SCI_INFECT,,,YEAR,2005,,,,,,,,,29,29.12814,,,,2023-05-01T16:34:07Z,2005,2005-01-01,2005-12-31
31414066,UHC_SCI_INFECT,,,YEAR,2010,,,,,,,,,43,43.38412,,,,2023-05-01T16:34:07Z,2010,2010-01-01,2010-12-31
31414071,UHC_SCI_INFECT,,,YEAR,2015,,,,,,,,,58,57.50556,,,,2023-05-01T16:34:07Z,2015,2015-01-01,2015-12-31
31414076,UHC_SCI_INFECT,,,YEAR,2017,,,,,,,,,63,63.39527,,,,2023-05-01T16:34:07Z,2017,2017-01-01,2017-12-31
31414081,UHC_SCI_INFECT,,,YEAR,2019,,,,,,,,,69,69.49869,,,,2023-05-01T16:34:07Z,2019,2019-01-01,2019-12-31
