Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
31413897,UHC_SCI_NCD,,,YEAR,2015,,,,,,,,,55,54.63604,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413902,UHC_SCI_NCD,,,YEAR,2017,,,,,,,,,56,56.05937,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413907,UHC_SCI_NCD,,,YEAR,2019,,,,,,,,,57,57.38985,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413912,UHC_SCI_NCD,,,YEAR,2021,,,,,,,,,57,57.44694,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413917,UHC_SCI_NCD,,,YEAR,2000,,,,,,,,,61,61.26845,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413922,UHC_SCI_NCD,,,YEAR,2005,,,,,,,,,65,65.26195,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413927,UHC_SCI_NCD,,,YEAR,2010,,,,,,,,,68,68.34172,,,,2023-05-01T16:34:05Z,2010,2010-01-01,2010-12-31
31413932,UHC_SCI_NCD,,,YEAR,2015,,,,,,,,,70,70.34273,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413937,UHC_SCI_NCD,,,YEAR,2017,,,,,,,,,71,71.10156,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413942,UHC_SCI_NCD,,,YEAR,2019,,,,,,,,,72,71.51435,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413947,UHC_SCI_NCD,,,YEAR,2021,,,,,,,,,72,71.69195,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413952,UHC_SCI_NCD,,,YEAR,2000,,,,,,,,,44,43.63815,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413957,UHC_SCI_NCD,,,YEAR,2005,,,,,,,,,49,48.89537,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413962,UHC_SCI_NCD,,,YEAR,2010,,,,,,,,,52,52.42533,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31413967,UHC_SCI_NCD,,,YEAR,2015,,,,,,,,,54,54.25966,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31413972,UHC_SCI_NCD,,,YEAR,2017,,,,,,,,,55,55.30948,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
