Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
31413895,UHC_SCI_RMNCH,,,YEAR,2015,,,,,,,,,55,55.0142,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413900,UHC_SCI_RMNCH,,,YEAR,2017,,,,,,,,,56,56.05371,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413905,UHC_SCI_RMNCH,,,YEAR,2019,,,,,,,,,58,57.68914,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413910,UHC_SCI_RMNCH,,,YEAR,2021,,,,,,,,,58,57.64793,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413915,UHC_SCI_RMNCH,,,YEAR,2000,,,,,,,,,81,81.35365,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413920,UHC_SCI_RMNCH,,,YEAR,2005,,,,,,,,,83,83.37444,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413925,UHC_SCI_RMNCH,,,YEAR,2010,,,,,,,,,84,84.02922,,,,2023-05-01T16:34:05Z,2010,2010-01-01,2010-12-31
31413930,UHC_SCI_RMNCH,,,YEAR,2015,,,,,,,,,84,83.88374,,,,2023-05-01T16:34:05Z,2015,2015-01-01,2015-12-31
31413935,UHC_SCI_RMNCH,,,YEAR,2017,,,,,,,,,83,83.34703,,,,2023-05-01T16:34:05Z,2017,2017-01-01,2017-12-31
31413940,UHC_SCI_RMNCH,,,YEAR,2019,,,,,,,,,82,82.38534,,,,2023-05-01T16:34:05Z,2019,2019-01-01,2019-12-31
31413945,UHC_SCI_RMNCH,,,YEAR,2021,,,,,,,,,82,81.54423,,,,2023-05-01T16:34:05Z,2021,2021-01-01,2021-12-31
31413950,UHC_SCI_RMNCH,,,YEAR,2000,,,,,,,,,66,66.44373,,,,2023-05-01T16:34:05Z,2000,2000-01-01,2000-12-31
31413955,UHC_SCI_RMNCH,,,YEAR,2005,,,,,,,,,70,69.6881,,,,2023-05-01T16:34:05Z,2005,2005-01-01,2005-12-31
31413960,UHC_SCI_RMNCH,,,YEAR,2010,,,,,,,,,76,75.59304,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31413965,UHC_SCI_RMNCH,,,YEAR,2015,,,,,,,,,77,77.19065,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31413970,UHC_SCI_RMNCH,,,YEAR,2017,,,,,,,,,78,78.17728,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
31413975,UHC_SCI_RMNCH,,,YEAR,2019,,,,,,,,,79,78.58964,,,,2023-05-01T16:34:06Z,2019,2019-01-01,2019-12-31
31413980,UHC_SCI_RMNCH,,,YEAR,2021,,,,,,,,,77,76.97008,,,,2023-05-01T16:34:06Z,2021,2021-01-01,2021-12-31
31413985,UHC_SCI_RMNCH,,,YEAR,2000,,,,,,,,,83,82.7168,,,,2023-05-01T16:34:06Z,2000,2000-01-01,2000-12-31
31413990,UHC_SCI_RMNCH,,,YEAR,2005,,,,,,,,,85,85.18323,,,,2023-05-01T16:34:06Z,2005,2005-01-01,2005-12-31
31413995,UHC_SCI_RMNCH,,,YEAR,2010,,,,,,,,,86,86.20036,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31414000,UHC_SCI_RMNCH,,,YEAR,2015,,,,,,,,,86,86.49716,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31414005,UHC_SCI_RMNCH,,,YEAR,2017,,,,,,,,,88,87.52213,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
31414010,UHC_SCI_RMNCH,,,YEAR,2019,,,,,,,,,88,88.36892,,,,2023-05-01T16:34:06Z,2019,2019-01-01,2019-12-31
31414015,UHC_SCI_RMNCH,,,YEAR,2021,,,,,,,,,89,88.55046,,,,2023-05-01T16:34:06Z,2021,2021-01-01,2021-12-31
31414020,UHC_SCI_RMNCH,,,YEAR,2000,,,,,,,,,80,80.29325,,,,2023-05-01T16:34:06Z,2000,2000-01-01,2000-12-31
31414025,UHC_SCI_RMNCH,,,YEAR,2005,,,,,,,,,81,80.78014,,,,2023-05-01T16:34:06Z,2005,2005-01-01,2005-12-31
31414030,UHC_SCI_RMNCH,,,YEAR,2010,,,,,,,,,80,79.9263,,,,2023-05-01T16:34:06Z,2010,2010-01-01,2010-12-31
31414035,UHC_SCI_RMNCH,,,YEAR,2015,,,,,,,,,81,80.60418,,,,2023-05-01T16:34:06Z,2015,2015-01-01,2015-12-31
31414040,UHC_SCI_RMNCH,,,YEAR,2017,,,,,,,,,80,79.95267,,,,2023-05-01T16:34:06Z,2017,2017-01-01,2017-12-31
31414045,UHC_SCI_RMNCH,,,YEAR,2019,,,,,,,,,80,79.94031,,,,2023-05-01T16:34:06Z,2019,2019-01-01,2019-12-31
